;0_80359_sms_viber_tg;0_80380_sms_viber_cg
mean_effect_experiment_items_commercial_front_margin_novat * total_group_size / experiment_items_commercial_front_margin_novat;0.07538186591853625;
mean_effect_experiment_items_ebitda;-1.25655804587416;
effect_left_bound_experiment_items_ebitda;-1.6814566675848566;
effect_right_bound_experiment_items_ebitda;-0.8354371142982772;
mean_effect_experiment_items_ebitda * total_group_size;-319252.0;
control_metric_means_experiment_items_ebitda;1.1141413569398337;
target_metric_mean_experiment_items_ebitda;-0.15322386831923568;
metric_pvalue_experiment_items_ebitda;0.0;
metric_significance_experiment_items_ebitda;1.0;
mean_effect_experiment_items_ebitda * total_group_size / experiment_items_ebitda;-132.2897186773094;
mean_effect_experiment_items_supplier_fin_ebitda;0.19632777057727616;
effect_left_bound_experiment_items_supplier_fin_ebitda;-0.22819554560618122;
effect_right_bound_experiment_items_supplier_fin_ebitda;0.6180536697013451;
mean_effect_experiment_items_supplier_fin_ebitda * total_group_size;49881.0;
control_metric_means_experiment_items_supplier_fin_ebitda;1.1141413569398337;
target_metric_mean_experiment_items_supplier_fin_ebitda;1.2996452341686713;
metric_pvalue_experiment_items_supplier_fin_ebitda;0.38205;
metric_significance_experiment_items_supplier_fin_ebitda;0.0;
mean_effect_experiment_items_supplier_fin_ebitda * total_group_size / experiment_items_supplier_fin_ebitda;0.13561705519498912;
mean_effect_num_unique_visits;-0.0027990798001201514;
effect_left_bound_num_unique_visits;-0.005674843626505871;
effect_right_bound_num_unique_visits;0.00020914518168912427;
mean_effect_num_unique_visits * total_group_size;-711.0;
control_metric_means_num_unique_visits;0.8479246674911584;
target_metric_mean_num_unique_visits;0.8451523011465389;
metric_pvalue_num_unique_visits;0.11610000000000001;
metric_significance_num_unique_visits;0.0;
mean_effect_num_unique_visits * total_group_size / num_unique_visits;-0.003299656111789193;
mean_effect_num_visits;-0.05024644788736966;
effect_left_bound_num_visits;-0.0714946411547792;
effect_right_bound_num_visits;-0.02943992613946756;
mean_effect_num_visits * total_group_size;-12766.0;
control_metric_means_num_visits;2.816160038186986;
target_metric_mean_num_visits;2.766669684219641;
metric_pvalue_num_visits;0.0001;
metric_significance_num_visits;1.0;
mean_effect_num_visits * total_group_size / num_visits;-0.017926325973794368;
mean_effect_rto_novat;-75.75374711704676;
effect_left_bound_rto_novat;-88.48929847576397;
effect_right_bound_rto_novat;-63.906032634135855;
mean_effect_rto_novat * total_group_size;-19246679.0;
control_metric_means_rto_novat;1349.2267888216277;
target_metric_mean_rto_novat;1273.63840543317;
metric_pvalue_rto_novat;0.0;
metric_significance_rto_novat;1.0;
mean_effect_rto_novat * total_group_size / rto_novat;-0.05865389027806113;
mean_effect_front_margin_novat;-22.507364699616396;
effect_left_bound_front_margin_novat;-25.821156984347773;
effect_right_bound_front_margin_novat;-19.067313165199582;
mean_effect_front_margin_novat * total_group_size;-5718424.0;
control_metric_means_front_margin_novat;326.930708195014;
target_metric_mean_front_margin_novat;304.47408869244174;
metric_pvalue_front_margin_novat;0.0;
metric_significance_front_margin_novat;1.0;
mean_effect_front_margin_novat * total_group_size / front_margin_novat;-0.07309445404777504;
mean_effect_front_margin_novat_wo_comm;-23.865917841322002;
effect_left_bound_front_margin_novat_wo_comm;-27.179717544667998;
effect_right_bound_front_margin_novat_wo_comm;-20.425867136758427;
mean_effect_front_margin_novat_wo_comm * total_group_size;-6063590.0;
control_metric_means_front_margin_novat_wo_comm;326.930708195014;
target_metric_mean_front_margin_novat_wo_comm;303.1155352286191;
metric_pvalue_front_margin_novat_wo_comm;0.0;
metric_significance_front_margin_novat_wo_comm;1.0;
mean_effect_front_margin_novat_wo_comm * total_group_size / front_margin_novat_wo_comm;-0.0778509507720644;
mean_effect_commercial_front_margin_novat;-22.410396225276653;
effect_left_bound_commercial_front_margin_novat;-25.76521470704948;
effect_right_bound_commercial_front_margin_novat;-18.95590115512947;
mean_effect_commercial_front_margin_novat * total_group_size;-5693787.0;
control_metric_means_commercial_front_margin_novat;328.0348393542928;
target_metric_mean_commercial_front_margin_novat;305.6643928814614;
metric_pvalue_commercial_front_margin_novat;0.0;
metric_significance_commercial_front_margin_novat;1.0;
mean_effect_commercial_front_margin_novat * total_group_size / commercial_front_margin_novat;-0.0724646427343679;
mean_effect_ebitda;-23.768949366982266;
effect_left_bound_ebitda;-27.12382650148328;
effect_right_bound_ebitda;-20.314491577416383;
mean_effect_ebitda * total_group_size;-6038953.0;
control_metric_means_ebitda;328.0348393542928;
target_metric_mean_ebitda;304.3058394176385;
metric_pvalue_ebitda;0.0;
metric_significance_ebitda;1.0;
mean_effect_ebitda * total_group_size / ebitda;-0.0771976813607395;
mean_effect_supplier_fin_ebitda;-22.31606355053083;
effect_left_bound_supplier_fin_ebitda;-25.67050427405686;
effect_right_bound_supplier_fin_ebitda;-18.86126528849484;
mean_effect_supplier_fin_ebitda * total_group_size;-5669820.0;
control_metric_means_supplier_fin_ebitda;328.0348393542928;
target_metric_mean_supplier_fin_ebitda;305.7587085201264;
metric_pvalue_supplier_fin_ebitda;0.0;
metric_significance_supplier_fin_ebitda;1.0;
mean_effect_supplier_fin_ebitda * total_group_size / supplier_fin_ebitda;-0.07213754636421407;
CR_buy (buyers / group_size);0.8456080590536812;0.8483950510468939
CR_buy_delta (CR_target - CR_control);-0.0027869919932127507;
CR_comm (communications / group_size);0.968585545033926;
categories_items_CR_buy (buyers / group_size);0.3048477546807734;0.30468074061256273
categories_items_CR_buy_delta (CR_target - CR_control);0.0001670140682106802;
experiment_items_CR_buy (buyers / group_size);0.0018640682209725334;0.0011896521889600278
experiment_items_CR_buy_delta (CR_target - CR_control);0.0006744160320125057;
meta_post_analysis;{'spark': <pyspark.sql.session.SparkSession object at 0x7f3dcc609150>, 'date_from': '2022-01-21', 'date_to': '2022-01-27', 'control_camp_wave_id': 80380, 'slip_check_date_from': '', 'slip_check_date_to': '', 'plu_list': ['4125613', '4125614'], 'synthetic_catalog_ids': [63], 'threshold_price': None, 'threshold_item_condition': 'plu_list', 'count_for_plu_list': 2, 'rto_for_plu_list': None, 'is_keep_only_first_buy_for_plu_list': False, 'metrics_for_stat_test': ['num_unique_visits', 'num_visits', 'rto_novat', 'front_margin_novat', 'front_margin_novat_wo_comm', 'commercial_front_margin_novat', 'ebitda', 'supplier_fin_ebitda'], 'stat_test': StatTestParams(boot_iter=1000, test_name='ttest', cutoff_prob=0.5, significant_level=0.05, include_cutoff_prob_for_significance=False, fraud_filter={'max_rto_per_week': 20000.0, 'max_nchecks_per_week': 30.0, 'min_fm_share_in_rto': -0.5}), '__initialised__': True};{'spark': <pyspark.sql.session.SparkSession object at 0x7f3dcc609150>, 'date_from': '2022-01-21', 'date_to': '2022-01-27', 'control_camp_wave_id': 80380, 'slip_check_date_from': '', 'slip_check_date_to': '', 'plu_list': ['4125613', '4125614'], 'synthetic_catalog_ids': [63], 'threshold_price': None, 'threshold_item_condition': 'plu_list', 'count_for_plu_list': 2, 'rto_for_plu_list': None, 'is_keep_only_first_buy_for_plu_list': False, 'metrics_for_stat_test': ['num_unique_visits', 'num_visits', 'rto_novat', 'front_margin_novat', 'front_margin_novat_wo_comm', 'commercial_front_margin_novat', 'ebitda', 'supplier_fin_ebitda'], 'stat_test': StatTestParams(boot_iter=1000, test_name='ttest', cutoff_prob=0.5, significant_level=0.05, include_cutoff_prob_for_significance=False, fraud_filter={'max_rto_per_week': 20000.0, 'max_nchecks_per_week': 30.0, 'min_fm_share_in_rto': -0.5}), '__initialised__': True}
meta_experiment_params;{'map_camp_wave_ids_to_suffixes': {80359: 'sms_viber_tg', 80380: 'sms_viber_cg'}, 'date_communication_from': '2022-01-21', 'date_communication_to': '2022-01-27', 'wave_ids': [80483], 'communication_costs': {'sms': 1.38, 'viber': 1.32, 'email': 0.0083}, '__initialised__': True};{'map_camp_wave_ids_to_suffixes': {80359: 'sms_viber_tg', 80380: 'sms_viber_cg'}, 'date_communication_from': '2022-01-21', 'date_communication_to': '2022-01-27', 'wave_ids': [80483], 'communication_costs': {'sms': 1.38, 'viber': 1.32, 'email': 0.0083}, '__initialised__': True}
