;1_79931_sms_viber_cg;0_79931_sms_viber_cg
mean_effect_rto_novat;;1.6847526527538539
effect_left_bound_rto_novat;;-17.858690479795438
effect_right_bound_rto_novat;;21.492740055319587
mean_effect_rto_novat * total_group_size;;194564.0
control_metric_means_rto_novat;;1771.3924672851902
target_metric_mean_rto_novat;;1773.3669137117372
metric_pvalue_rto_novat;;0.5365
metric_significance_rto_novat;;0.0
mean_effect_rto_novat * total_group_size / rto_novat;;0.0009353692968048693
mean_effect_front_margin_novat;;2.134141948343349
effect_left_bound_front_margin_novat;;-3.769437718996005
effect_right_bound_front_margin_novat;;8.263307697159483
mean_effect_front_margin_novat * total_group_size;;246461.0
control_metric_means_front_margin_novat;;488.17012047358577
target_metric_mean_front_margin_novat;;490.39302428886873
metric_pvalue_front_margin_novat;;0.4474
metric_significance_front_margin_novat;;0.0
mean_effect_front_margin_novat * total_group_size / front_margin_novat;;0.004296393350893834
mean_effect_front_margin_novat_wo_comm;;0.7725036825945425
effect_left_bound_front_margin_novat_wo_comm;;-5.1311677618587535
effect_right_bound_front_margin_novat_wo_comm;;6.901619477910274
mean_effect_front_margin_novat_wo_comm * total_group_size;;89213.0
control_metric_means_front_margin_novat_wo_comm;;488.17012047358577
target_metric_mean_front_margin_novat_wo_comm;;489.031381478114
metric_pvalue_front_margin_novat_wo_comm;;0.5009
metric_significance_front_margin_novat_wo_comm;;0.0
mean_effect_front_margin_novat_wo_comm * total_group_size / front_margin_novat_wo_comm;;0.0015594777119323244
mean_effect_commercial_front_margin_novat;;2.3734422543587654
effect_left_bound_commercial_front_margin_novat;;-3.462595576282308
effect_right_bound_commercial_front_margin_novat;;8.500940021024467
mean_effect_commercial_front_margin_novat * total_group_size;;274097.0
control_metric_means_commercial_front_margin_novat;;487.7740183826075
target_metric_mean_commercial_front_margin_novat;;490.24706000779315
metric_pvalue_commercial_front_margin_novat;;0.42869999999999997
metric_significance_commercial_front_margin_novat;;0.0
mean_effect_commercial_front_margin_novat * total_group_size / commercial_front_margin_novat;;0.004777419259593847
mean_effect_ebitda;;1.0118039886099615
effect_left_bound_ebitda;;-4.824321228964609
effect_right_bound_ebitda;;7.139281208191683
mean_effect_ebitda * total_group_size;;116848.0
