;0_79946_sms_viber_tg;0_79909_sms_viber_cg;1_79909_sms_viber_cg
Эффект РТО(чек) на гостя, руб.;3.4941527637168424;-15.507268792210699;
Эффект РТО(чек) на группу, руб.;328035.0;-1461436.0;
Эффект РТО(чек) на группу / РТО(чек) группы;0.0014656590238530244;-0.006579301427274767;
Значимость РТО(категория);0.0;0.0;
Эффект РТО(категория) на гостя, руб.;0.24447344583753083;-0.3064785291075641;
Эффект РТО(категория) на группу, руб.;22951.0;-28883.0;
Эффект РТО(категория) на группу / РТО(категория) группы;0.008897691581128348;-0.011404341322352851;
Значимость РТО(набор plu);1.0;1.0;
Эффект РТО(набор plu) на гостя, руб.;0.3646969693146916;0.29395051497976615;
Эффект РТО(набор plu) на группу, руб.;34238.0;27702.0;
Эффект РТО(набор plu) на группу / РТО(набор plu) группы;0.08842992637313689;0.07255707616408116;
Значимость ФМ(чек);0.0;0.0;
Эффект ФМ(чек) на гостя, руб.;3.1435071361470692;-4.260913683637538;
Эффект ФМ(чек) на группу, руб.;295116.0;-401557.0;
Эффект ФМ(чек) на группу / ФМ(чек) группы;0.0049575834967715985;-0.0068145229835218256;
Значимость ФМ(категория);0.0;0.0;
Эффект ФМ(категория) на гостя, руб.;0.09447805012980286;-0.027517664162032683;
Эффект ФМ(категория) на группу, руб.;8870.0;-2593.0;
Эффект ФМ(категория) на группу / ФМ(категория) группы;0.013710061081181599;-0.004072329407443403;
Значимость ФМ(набор plu);1.0;1.0;
Эффект ФМ(набор plu) на гостя, руб.;0.08577522709463838;0.07716983926031308;
Эффект ФМ(набор plu) на группу, руб.;8053.0;7273.0;
Эффект ФМ(набор plu) на группу / ФМ(набор plu) группы;0.09709873372544195;0.0882672089806575;
Значимость ФМ - коммуникация(чек);0.0;0.0;
Эффект ФМ - коммуникация(чек) на гостя, руб.;1.7850695771095528;-4.260913683637538;
Эффект ФМ - коммуникация(чек) на группу, руб.;167584.0;-401557.0;
Эффект ФМ - коммуникация(чек) на группу / ФМ - коммуникация(чек) группы;0.0028212631634976114;-0.0068145229835218256;
Значимость ФМ - коммуникация(категория);1.0;0.0;
Эффект ФМ - коммуникация(категория) на гостя, руб.;-1.2639595089077011;-0.027517664162032683;
Эффект ФМ - коммуникация(категория) на группу, руб.;-118662.0;-2593.0;
Эффект ФМ - коммуникация(категория) на группу / ФМ - коммуникация(категория) группы;-0.2285840037545258;-0.004072329407443403;
Значимость ФМ - коммуникация(набор plu);1.0;1.0;
Эффект ФМ - коммуникация(набор plu) на гостя, руб.;-1.2726623319428663;0.07716983926031308;
Эффект ФМ - коммуникация(набор plu) на группу, руб.;-119479.0;7273.0;
Эффект ФМ - коммуникация(набор plu) на группу / ФМ - коммуникация(набор plu) группы;-2.660040110214045;0.0882672089806575;
Значимость КМ(чек);0.0;0.0;
Эффект КМ(чек) на гостя, руб.;3.6345426898588724;-4.049896133392549;
Эффект КМ(чек) на группу, руб.;341215.0;-381670.0;
Эффект КМ(чек) на группу / КМ(чек) группы;0.005731093683906127;-0.0064794419008558065;
Значимость КМ(категория);0.0;0.0;
Эффект КМ(категория) на гостя, руб.;0.5855136038416116;0.18349988608296008;
Эффект КМ(категория) на группу, руб.;54969.0;17293.0;
Эффект КМ(категория) на группу / КМ(категория) группы;0.08375893420822342;0.028125444537508128;
Значимость КМ(набор plu);0.0;0.0;
Эффект КМ(набор plu) на гостя, руб.;0.5768107808064472;0.2881873895053057;
Эффект КМ(набор plu) на группу, руб.;54152.0;27159.0;
Эффект КМ(набор plu) на группу / КМ(набор plu) группы;0.5870623669963927;0.44880728212991766;
Значимость Ebitda без учета софинансирования(чек);0.0;0.0;
Эффект Ebitda без учета софинансирования(чек) на гостя, руб.;2.276105130821368;-4.049896133392549;
Эффект Ebitda без учета софинансирования(чек) на группу, руб.;213683.0;-381670.0;
Эффект Ebitda без учета софинансирования(чек) на группу / Ebitda без учета софинансирования(чек) группы;0.003596772622448385;-0.0064794419008558065;
Значимость Ebitda без учета софинансирования(категория);1.0;0.0;
Эффект Ebitda без учета софинансирования(категория) на гостя, руб.;-0.7729239551958927;0.18349988608296008;
Эффект Ebitda без учета софинансирования(категория) на группу, руб.;-72563.0;17293.0;
Эффект Ebitda без учета софинансирования(категория) на группу / Ebitda без учета софинансирования(категория) группы;-0.13731969943618305;0.028125444537508128;
Значимость Ebitda без учета софинансирования(набор plu);1.0;0.0;
Эффект Ebitda без учета софинансирования(набор plu) на гостя, руб.;-0.7816267782310572;0.2881873895053057;
Эффект Ebitda без учета софинансирования(набор plu) на группу, руб.;-73380.0;27159.0;
Эффект Ebitda без учета софинансирования(набор plu) на группу / Ebitda без учета софинансирования(набор plu) группы;-2.060650695528569;0.44880728212991766;
Значимость Ebitda софинансирование(чек);0.0;0.0;
Эффект Ebitda софинансирование(чек) на гостя, руб.;3.7417736153922605;-4.049896133392549;
