customer_rk,group,usecase
70316938,2,freq
128027523,2,freq
43353396,2,freq
115707712,2,freq
36192298,2,freq
35836100,2,churn
12506250,2,freq
82728989,2,freq
122493651,2,churn
125124434,2,churn
18885392,2,freq
38231668,2,freq
111218199,2,churn
124827194,2,churn
139472646,2,churn
33148937,2,freq
122909159,2,freq
34620955,2,freq
36669690,2,freq
77646580,2,freq
58318187,2,freq
58050950,2,freq
30728037,2,freq
101536245,2,freq
132923682,2,freq
119393124,2,churn
61204158,2,churn
22766321,2,freq
56618005,2,freq
50307864,2,freq
34078268,2,churn
105157057,2,churn
139881076,2,churn
43386502,2,churn
71524165,2,freq
14319743,2,churn
17463594,2,freq
29766260,2,freq
62446012,2,freq
127096892,2,churn
72555855,2,churn
118674989,2,churn
37414871,2,freq
31798649,2,freq
121365568,2,freq
126639790,2,freq
126073471,2,freq
42795697,2,churn
111544726,2,freq
121399734,2,churn
122170177,2,freq
19410566,2,churn
37427499,2,churn
106957794,2,churn
26135023,2,churn
17833453,2,freq
105161264,2,freq
57296448,2,freq
74563391,2,churn
115708365,2,freq
124620063,2,churn
24373491,2,freq
62511036,2,freq
94949488,2,freq
144404024,2,churn
24394846,2,freq
40521201,2,freq
38734751,2,freq
122625320,2,freq
12958378,2,freq
34630112,2,freq
44362937,2,churn
58099473,2,churn
99740953,2,freq
111723605,2,freq
13297329,2,freq
57278751,2,freq
130643615,2,freq
36362538,2,freq
124807317,2,churn
126267843,2,freq
19313332,2,freq
34540664,2,freq
22199974,2,freq
12813194,2,churn
50645047,2,freq
90990972,2,freq
112653038,2,churn
126040489,2,freq
34255365,2,churn
83201728,2,freq
86161015,2,freq
95687718,2,churn
60649597,2,freq
125656029,2,churn
35998469,2,freq
36670446,2,churn
42067059,2,freq
133066611,2,freq
84666772,2,freq
112771199,2,freq
107323586,2,freq
41409398,2,freq
44926047,2,freq
113918147,2,freq
115746534,2,freq
117029604,2,churn
16324406,2,freq
93615310,2,freq
41299070,2,freq
35278431,2,freq
77232301,2,churn
55825711,2,churn
66058975,2,freq
102311484,2,churn
124028749,2,freq
28271222,2,freq
94333712,2,freq
114527024,2,freq
56834916,2,freq
127821208,2,freq
31079806,2,freq
45892570,2,freq
112347014,2,freq
116399183,2,freq
117341963,2,churn
133824387,2,churn
43334812,2,churn
95831828,2,freq
93618012,2,freq
83871495,2,freq
61619512,2,churn
31908007,2,freq
54774644,2,freq
86633429,2,freq
130801850,2,freq
139192861,2,freq
37206642,2,freq
54169594,2,churn
73097203,2,churn
122720958,2,freq
129547959,2,freq
65852362,2,freq
70834688,2,churn
35892528,2,churn
44875110,2,freq
117675351,2,churn
106410281,2,churn
38081527,2,freq
51327721,2,churn
62748605,2,freq
