plu_id,plu_nm
43466,СПм Рулет ДНЕПРОВСКИЙ           1кг
2098374,Ножки 1кг для студня свиные охл
3287795,СПм Карбонат свиной 1кг
79901,СПм Шейка СВИНАЯ с фаршем       1кг
37906,Свинина ПО-СИБИРСКИ         1кг
14058,шашлык свиной Любительский 1кг охл п/ф
21915,ТВЕРЕЦКИЙ Вырезка НЕЖНАЯ    1кг
2098405,Поджарка в маринаде с овощами 1кг
4137675,МЯС.ПОД.Отруб св.плечел.б/гол.б/к охл1кг
3022804,Свинина спинная часть охл.1кг
2098398,грудинка свиная нарезная в специях 1кг
64474,Мясо для шашлыка п/ф б/к кат.Б 1кг
2132224,Свинина п/т Зачищенная Автомат 1кг
2132236,Лопатка свиная без кости АКЦИЯ ПРИХОД
4804,Км Жаркое свиное на косточке   1кг
3065577,Пр-во Шницель
89275,Свинина духовая             1кг
4012720,СПми Свинина духовая 1кг
92545,Вырезка свиная  1кг
3022882,Эскалоп 1кг
3075986,Св.разруб Эскалоп/котлеты из ко
2100624,Филе лопаточной части свинины охл.1кг
59239,Свинина ПО-СИБИРСКИ         1кг
3293942,Эскалоп из свиного карбонада п/ф.Мясн.ц
3077136,Пр-во Свинина б/к охл. Лопатка
3022794,Свинина окорок охлажденная нек.1кг
3095275,Пр-во Свинина Шницель охл. Филея
4950,Км Гуляш из свинины 1кг
4016593,СПми Передний окорок свиной 1кг
14553,бифштекс нат.оболочка свинина 1кг п/ф
85121,Мясо для гуляша из свинины  1кг
2132434,Свинина Лопат часть б/к Автомат 1кг
39253,Вырезка ЭКСТРА свинина      1кг
3022780,СПм Свинина котлетное мясо 1кг
89124,Шпик соленый                1кг
3387723,Свинина духовая на подложке 1кг
3300144,Свинина лопатка б/к охл.1кг
3022782,Свинина лопаточная часть 1кг
85465,Рулька свиная задняя без кости 1кг
84991,СПм Грудинка свиная без кости   1кг
64478,Лопатка свиная п/ф б/к кат.А 1кг
3034306,ВЕЛИК.Отруб таз.б/гол.св.б/к охл.в/у 1кг
4693,Км Котлета натур.из свинины 1кг
85947,Шейка СВИНАЯ с черносливом б/к 1кг
24791,Сало-шпиг ПО-ВЕНГЕРСКИ 1кг
38846,"СП Окорок свиной ПФ, вес"
43462,СПм Котлеты ДЕРЕВЕНСКИЕ из свинины 1кг
89122,СПм Шпик ПО-ДОМАШНЕМУ           1кг
15157,Свинина 3сорт 1кг для регионов НЕТ
3292797,Стейк свиной Остров-2 1кг
38769,СПм Шпиг соленый                1кг
46626,СПм Свинина духовая 1кг
3401888,СЖм Корейка СВИНАЯ с фаршем 1кг
3028399,Пр-во Шницель свиной По-восточному
3215359,Мясо Свинина карбонат б/к заморож 1кг
41397,Свинина для запекания 1кг
41341,Мясо для котлет свиное 1кг
3312456,СП Шашлык мар.в мин.воде 1кг
3034303,ВЕЛИКОЛ.Мышца свинины п.п.б/к в/у охл.1к
77007288,"СПм Гуляш свинСПЕЦ.ЦЕНА СВ.1,5КГ 1кг"
3292788,Свинина духовая Остров-2 1кг
4506,Км Рагу свиное 1кг
13305,Поросенок молочный 1кг охл
4807,Км Эскалоп 1кг
3401838,СЖк Свинина Корейка д/запекания
37181,Свинина ЭКСТРА              1кг
58901,Грудинка ФАРШИРОВАННАЯ      1кг
3402098,СЖм Котлеты АППЕТИТНЫЕ из свинины 1кг
5559,Км Кость пищевая свиная        1кг
2098380,Рулет свиная шейка/травы Сицилия МЦ 1кг
3076715,Пр-во Свинина б/к охл. Окорок
3076692,Пр-во ф.п.Свинина (шейная часть мякоть)
3035694,Пр-во Свинина охл односортная
88131,Поджарка ЭКСТРА             1кг
3225479,Свинина 1кг окорок охл ингредиент
88340,Шкурка свиная               1кг
3293903,Карбонад свиной в марин.Мексикано 1кг
3065860,Пр-во Свинина отбивная (шея)
43467,СПм Котлеты АППЕТИТНЫЕ из свинины 1кг
8514,Км Шейка свиная б/к на подложке 1кг
3401711,СЖм Шейка СВИНАЯ с черносливом  1кг
84875,Вырезка свиная              1кг
39195,"СП Эскалоп из свинины ПФ, вес"
28262,Свинина охлажд.кость        1кг
4834,СПм Эскалоп 1кг
3225480,Свинина 1кг шейка охл ингредиент
86689,СПм Грудинка свиная без кости   1кг
52996,СПм Котлета нат.с черносливом 1кг
3095472,Пр-во Шашлык свиной Пикантный б/к Филея
3022763,Свинина вырезка Экстра охлажденная 1кг
3312454,СП Шашлык мар.в кефире 1кг
3022785,Свинина лопаточная часть охл.1кг
927,Шпиг ПО-ДОМАШНЕМУ 1кг
3401610,СЖм Котлета натур.из свинины 1кг
85948,Шейка СВИНАЯ с фаршем б/к   1кг
89263,Шницель без панировки       1кг
92553,Гуляш свиной п/ф            1кг
3095279,Пр-во Гуляш из свинины охл. Филея
319,Окорок свиной охлажденный   1кг
3293897,Карбонад свиной б/к  п/ф.Мясн.цех 1кг
7475,Км Свинина духовая 1кг
9660,Км Набор суповой из свинины    1кг
89121,СПм Шпик ВЕНГЕРСКИЙ             1кг
38417,Шпиг ПО-ВЕНГЕРСКИ           1кг
2101257,СПм Гуляш ПО-УКРАИНСКИ из свинины 1кг
38933,СПм Шейка ДОМАШНЯЯ свинина 1кг
78005060,ХОРОШ.ДЕЛО Шейная часть свин.фас.1кг
59663,Свинина 3сорт 1 кг/ингредиент
7142,Км Рулька свиная на косточке 1кг
2098418,Шейка в маринаде Пикник 1кг
64455,Стейк из шейки п/ф бескостный кат.Б 1кг
3022847,Свинина щековина охл. б/шк 1кг
3095396,Пр-во Рулет из свинины натуральный 1кг
2162077,Шницель свиной з/а          1кг
78005061,ХОРОШ.ДЕЛО Лопаточная часть свин.фас.1кг
2137675,Свинина духовая             1кг
92549,Шницель из свинины п/ф      1кг
86825,Шпик хребтовой мороженный   1кг
38279,"СП Лопаточная часть свиная бескостная, в"
2094715,Свинина  крупный кусок охл 1кг
3094656,Пр-во Свинина (шея б/к) замор
3401737,СЖм СВИНИНА фарш.сыром и гриб.  1кг
12478,"Км Гуляш свинСПЕЦ.ЦЕНА СВ.1,5КГ 1кг"
3401605,СЖм Шейка б/к 1кг
77020063,Окорок свиной охлажденный   1кг
3066712,Пр-во Шея фаршированная  мясным фаршем
3292763,Грудинка свиная солёная Остров-2 1кг
3312451,Свинина д/тушения в мар.охл 1кг
3013740,П/Ф Свинина Экстра 1кг
3401766,СЖм Свинина в сырном кляре 1кг
38866,"СП Поджарка свиная ПФ, вес"
39192,"СП Шейка свиная ПФ, вес"
92488,"Шейка,свинина п/ф           1кг"
64412,Эскалоп свиной п/ф бескостный кат.А 1кг
275,Свинина лопаточная часть 1кг
3077396,Пр-во Поджарка из свинины
79897,СПм Шейка СВИНАЯ с черносливом  1кг
3401834,СЖк Свинина окорок для запекания охл.1кг
12737,Свинина карбонат б/к 1кг АКЦИЯ ПРИХОД
92493,"Свинина для тушения,п/ф     1кг"
79888,СПм Корейка СВИНАЯ с фаршем 1кг
88196,Вырека ЭКСТРА свиная        1кг
85125,Корейка без кости свиная    1кг
37941,Шницель свиной ЭКСТРА       1кг
59666,свинина 2 сорт 1 кг/ингредиент
85448,Рулька свиная передняя без кости 1кг
4540,Км Шейка свиная б/к 1кг
3022766,Свинина голяшка охлажденная 1кг
3402096,СЖм Рулет ДНЕПРОВСКИЙ           1кг
3312457,СП Шашлык мар.в пиве 1кг
3034322,ВЕЛИК.Отруб груд.св.б\к охл.в/у 1кг
3291981,Вырезка свиная с грибами и луком  1кг
3095533,СПм Свинина б/к охл. Лопатка духовая
3325778,Шпик с красным перцем для жарки 1кг
77020020,Гуляш ПО-УКРАИНСКИ из свинины 1кг
12734,Свинина 1кг котлет мяс АВТОМАТ
88163,Гуляш ЭКСТРА                1кг
3292859,Шашлык свиной маринованный Остров-2 1кг
3035596,Пр-во Шейка свиная домашняя охл
11483,СПм Говядина для тушения 1кг
2170387,Окорок свиной охлажденный в/у 1кг
77007290,"СПм Поджарка свинСП.ЦЕНА СВ.1,5КГ 1кг"
4538,Км Корейка б/к свиная 1кг
84871,СПм Шкура свиная                1кг
84857,Фарш свиной                 1кг
3401733,СЖм Котлеты ПРИЯТНОГО АППЕТИТА 1кг
86833,Шпик боковой мороженный     1кг
3095273,Пр-во Свинина Котлеты из корейк
38693,"СП Карбонад ПФ, вес"
3293568,Окорок свиной б/к п/ф.Мясн.цех
79902,СПм Рулет ИЗ ГРУДИНКИ с фаршем 1кг
4833,СПм Окорок задний свиной 1кг
3013721,П/Ф Свинина для поджарки 1кг
3075993,Пр-во Свинина Эскалоп к/к в/у сырье
90954,Мясо свинина                1кг
3296683,Свинина запеченая с анан.Мясн.цех 1кг
3065293,Пр-во Свинина Котлетное мясо сырье
4805,Км Передний окорок свиной 1кг
3065292,Пр-во Свинина Лопаточная часть
38611,"СП Вырезка свиная ПФ, вес"
3292772,Запеканка из свинины Остров-2 1кг
3082764,Пр-во Свиной шницель По-Восточному
3206049,МЯСНАЯ СТОЛИЦА Почки СВИНЫЕ охл.1кг
3401664,СЖм Котлета нат.с грибами       1кг
3315126,АнтрекотИзГовядП/фОхлОбн
3296823,Шашлык Люб.из свин.шейки Мясн.цех 1кг
3387722,СПм Эскалоп из свинины на подложке 1кг
3292781,Отбивная из свинины Остров-2 1кг
3035783,Пр-во Свинина тазобедренная час
3022318,Км Мясо для шашлыка свиного 1кг
85428,Свинина окорок задний       1кг
2094420,Свинина  1кг вырезка АВТОМАТ
64486,Окорок свиной п/ф б/к кат.А 1кг
911,СПм Корейка б/к свиная 1кг
2093046,Корейка н/к свинина в/у. АВТОМАТ
3030108,Пр-во Шашлык из свинины нарезка
85943,Корейка СВИНАЯ с черносливом 1кг
7321,СПм Гуляш из свинины 1кг
4137680,МЯС.ПОД.Отруб св.спинно-пояс.б/к охл.1кг
73416,Гуляш свиной на подложке    1кг
4012721,СПми Шейка свиная 1кг
3401604,СЖм Корейка б/к свиная 1кг
3022796,Свинина поясничная часть охл.1кг
3095880,СПм Свинина Корейка д/запекания
3215360,Мясо Свинина шея б/к Испания  ПРО
2132485,"Окорок без кости, без голяшки АКЦИЯ ПРИ"
3036700,Пр-во Свинина Гуляш на подложке
4497,Км Грудинка свиная 1кг
39268,Котлета ЭКСТРА натуральная свинина 1кг
89296,Шницель в панировке         1кг
36965,Окорок свиной безкостный охлажденный 1кг
43465,СПм Корейка фаршир.грибами      1кг
3387721,Котлета натур.из свинины на подл.1кг
40596,Свинина ЗАКУСОЧНАЯ          1кг
73417,Котлета нат.из свин.на подл.1кг
92551,Котлета натуральная из свинины п/ф 1кг
2098299,грудинка свиная нарезная 1кг охл
3206313,МЯСНАЯ СТОЛИЦА Вырезка СВИНАЯ охл.1кг
3228180,Окорок из свинины охлажден.г/с 1кг
3401886,СЖм Гуляш из свинины 1кг
3022845,Свинина шейная часть охл.1кг
4137679,МЯС.ПОД.Отруб св.грудина-реб.б/к охл.1кг
3022777,Свинина духовая 1кг
64497,Карбонад свиной п/ф б/к кат.А 1кг
3401864,СЖм Эскалоп 1кг
3296821,Шейка свиная б/кМясн.цех 1кг
3611074,САМСОН Окорок свиной охл.1кг
3077137,Пр-во Свинина б/к охл. Окорок д
7744,Км Поросенок МОЛОЧНЫЙ          1кг
3022881,Шпик свиной 1кг
2093062,Свинина Карбонат Автомат 1кг
5225,Км Поджарка свиная 1кг
38886,Свинина ЭКСТРА духовая      1кг
39092,СПм Свинина мясо для шашлыка 1кг
2155442,Карбонат свиной охлажденный 1кг
