plu_code,hive_dataflow_dttm,dataflow_id,dataflow_dttm,plu_rk,plu_cmh_rk,plu_cmh_id,plu_nm,plu_type_dk,control_category_dk,control_category_desc,plu_hierarchy_lvl_1_dk,plu_hierarchy_lvl_1_desc,plu_hierarchy_lvl_2_dk,plu_hierarchy_lvl_2_desc,plu_hierarchy_lvl_3_dk,plu_hierarchy_lvl_3_desc,plu_hierarchy_lvl_4_dk,plu_hierarchy_lvl_4_desc,financial_group_dk,financial_group_desc,plu_own_production_flg,plu_hierarchy_lvl4_acrm_id,synthetic_catalog_acrm_id,synthetic_catalog_nm,synthetic_catalog_code,segment_prod_nm,segment_prod_code,syntethic_category_id,price_range_dk,price_range_desc,plu_brand_code,plu_brand_hierarchy_lvl_nm,uom_code,plu_netto_weight_amt,plu_brutto_weight_amt,weight_uom_code,plu_height_amt,plu_width_amt,plu_depth_amt,best_before_day_cnt,plu_tare_type_dk,plu_tare_type_desc,plu_stm_flg,plu_tender_flg,plu_socially_significant_flg,price_segment_dk,price_segment_desc,abc_segment_dk,abc_segment_desc,vat_rate_amt,plu_origin_country_dk,plu_vendor_dk,plu_vendor_nm,alco_flg,cost,qty
3277496,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,53b2cfec6e2e4c6539a0b3ab5a490b59,fdd88f883311b4e200237670e79b1fba,6596,СИГАРЕТЫ DAVIDOFF GOLD SLIMS,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,1151,DAVIDOFF,ST,0.050,0.050,кг,10.000000000000000000,5.500000000000000000,1.000000000000000000,730,32,Пачка,0,0,0,3,ВЦС,3,30,20,RU,41001061,Империал Табак,0,207.033716,41442.000
3631556,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,9379b7710791b404b645c447e07824d5,064ac79219f5879891c5d34e89dec388,746512,СИГАРЕТЫ KENT ДИП БЛЭК ПАЧКА,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,2382,KENT,ST,0.035,0.037,кг,9.300000000000000000,4.700000000000000000,2.000000000000000000,730,32,Пачка,0,0,0,3,ВЦС,3,30,20,RU,41000171,Бритиш Американ Табак,0,110.000000,4.000
4046861,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,e4c70d42f596d97a88fe6a4e6aa036d9,a94a6b7df83d35caa57cd4dd870558eb,882204,СИГАРЕТЫ PHILIP MORRIS COMP.SIGN.ПАЧКА,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,R07P,PHILIP MORRIS,ST,0.025,0.030,кг,8.500000000000000000,5.000000000000000000,2.000000000000000000,730,32,Пачка,0,0,0,2,СЦС,3,30,20,RU,41000170,Филип Моррис,0,121.090323,751675.000
4047059,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,2057543400e5f24e83239859fd8facba,6a23a731902bc92501dedcde9239a2c1,877057,СИГАРЕТЫ MARLBORO CRAFTED GOLD ПАЧКА,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,2869,MARLBORO,ST,0.017,0.025,кг,8.800000000000000000,5.500000000000000000,2.300000000000000000,730,32,Пачка,0,0,0,2,СЦС,3,30,20,RU,41000170,Филип Моррис,0,157.098160,652.000
3397221,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,4aa99269672244f757c2850e25f49ce8,383b29c0f57d86bcd1c3ad5a02c04d17,6016,СИГАРЕТЫ MEVIUS LSS SKY BLUE 1П.,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,L593,MEVIUS,ST,0.030,0.030,кг,5.800000000000000000,4.600000000000000000,2.500000000000000000,730,32,Пачка,0,0,0,5,PREMIUM,3,30,20,RU,41000169,Дж.Т.И.,0,134.006024,166.000
3627182,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,fc8980b4ba16384f876497db1fa04e34,17de3b995acde7717733bc5fe72f3a6a,731854,СИГАРЕТЫ PHILIP MORRIS GOLD,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,R07P,PHILIP MORRIS,ST,0.018,0.028,кг,8.700000000000000000,5.600000000000000000,2.300000000000000000,730,32,Пачка,0,0,0,2,СЦС,3,30,20,RU,41000170,Филип Моррис,0,126.246747,46783.000
3658080,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,9a644df34ab9996eb4516e7d5668e3c7,e76869035173526fd72bc1a17b06b306,768454,СИГАРЕТЫ KISS JOLLY,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,2411,KISS,ST,0.017,0.018,кг,10.100000000000000000,5.600000000000000000,1.300000000000000000,730,32,Пачка,0,0,0,1,НЦС,3,30,20,RU,41000169,Дж.Т.И.,0,146.018719,130566.000
3252560,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,aed38637f45879d5321324da2653c13c,6cf781eeb46f707569679e0320955cf0,11557,СИГАРЕТЫ SOBRANIE ЧЕРНЫЕ,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,4048,SOBRANIE,ST,0.030,0.030,кг,8.600000000000000000,5.000000000000000000,2.000000000000000000,730,32,Пачка,0,0,0,5,PREMIUM,3,30,20,RU,41000169,Дж.Т.И.,0,206.692097,39485.000
3400734,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,8f16f59b0d9b38aacf996a96ad977580,eebb339ae142e7c5a7f85d0cbf6c841b,6405,СИГАРЕТЫ KENT ISWITCH 1ПАЧКА,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,30045,сигареты/KENT/20 ST,2382,KENT,ST,0.035,0.035,кг,8.700000000000000000,5.600000000000000000,2.300000000000000000,730,32,Пачка,0,0,0,5,PREMIUM,3,30,20,RU,41000171,Бритиш Американ Табак,0,132.545455,22.000
3994132,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,50de24112a84da4ff3c54ff9d43159d2,96db7be3ebbfdabf06c8a19936a8d17d,828945,СИГАРЕТЫ ROTHMANS ROYALS ЛЕТНИЙ,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,3752,ROTHMANS,ST,0.033,0.035,кг,9.000000000000000000,5.500000000000000000,2.000000000000000000,730,32,Пачка,0,0,0,2,СЦС,3,30,20,RU,41000171,Бритиш Американ Табак,0,108.125843,445.000
